appId,projectId,questionId,videoUrl,videoUrlNoCm
3,3,37,https://www.youtube.com/watch?v=AkCr-s-n2xE&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=4&t=306s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60642989
3,3,38,https://www.youtube.com/watch?v=AkCr-s-n2xE&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=4&t=543s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60642991
3,3,39,https://www.youtube.com/watch?v=AkCr-s-n2xE&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=4&t=754s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60642987
3,4,40,https://www.youtube.com/watch?v=yHsomxOLHRs&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=5,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643002
3,4,41,https://www.youtube.com/watch?v=yHsomxOLHRs&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=5&t=197s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643003
3,4,42,https://www.youtube.com/watch?v=yHsomxOLHRs&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=5&t=284s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643006
3,4,43,https://www.youtube.com/watch?v=yHsomxOLHRs&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=5&t=416s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643005
3,4,44,https://www.youtube.com/watch?v=yHsomxOLHRs&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=5&t=477s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643007
3,4,45,https://www.youtube.com/watch?v=yHsomxOLHRs&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=5&t=578s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643004
3,5,46,https://www.youtube.com/watch?v=YY2aAKEwcM4&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=6,
3,5,47,https://www.youtube.com/watch?v=YY2aAKEwcM4&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=6&t=14s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643025
3,5,48,https://www.youtube.com/watch?v=YY2aAKEwcM4&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=6&t=31s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643018
3,5,49,https://www.youtube.com/watch?v=YY2aAKEwcM4&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=6&t=144s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643022
3,5,50,https://www.youtube.com/watch?v=YY2aAKEwcM4&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=6&t=286s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643021
3,5,51,https://www.youtube.com/watch?v=YY2aAKEwcM4&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=6&t=316s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643020
3,5,52,https://www.youtube.com/watch?v=YY2aAKEwcM4&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=6&t=350s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643023
3,5,53,https://www.youtube.com/watch?v=YY2aAKEwcM4&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=6&t=401s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643017
3,5,54,https://www.youtube.com/watch?v=YY2aAKEwcM4&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=6&t=451s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643019
3,5,55,https://www.youtube.com/watch?v=YY2aAKEwcM4&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=6&t=547s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643024
3,6,56,https://www.youtube.com/watch?v=xsbQhiOdh7g&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=7&t=21s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60660474
3,6,57,https://www.youtube.com/watch?v=xsbQhiOdh7g&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=7&t=76s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643042
3,6,58,https://www.youtube.com/watch?v=xsbQhiOdh7g&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=7&t=146s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643049
3,6,59,https://www.youtube.com/watch?v=xsbQhiOdh7g&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=7&t=253s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643038
3,6,60,https://www.youtube.com/watch?v=xsbQhiOdh7g&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=7&t=316s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643035
3,6,61,https://www.youtube.com/watch?v=xsbQhiOdh7g&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=7&t=343s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643033
3,6,62,https://www.youtube.com/watch?v=xsbQhiOdh7g&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=7&t=448s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643036
3,6,63,https://www.youtube.com/watch?v=xsbQhiOdh7g&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=7&t=577s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643037
3,6,64,https://www.youtube.com/watch?v=xsbQhiOdh7g&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=7&t=688s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60660693
3,6,65,https://www.youtube.com/watch?v=xsbQhiOdh7g&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=7&t=714s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643051
3,6,66,https://www.youtube.com/watch?v=xsbQhiOdh7g&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=7&t=757s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643043
3,6,67,https://www.youtube.com/watch?v=xsbQhiOdh7g&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=7&t=774s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643039
3,6,68,https://www.youtube.com/watch?v=xsbQhiOdh7g&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=7&t=810s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643032
3,6,69,https://www.youtube.com/watch?v=xsbQhiOdh7g&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=7&t=848s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643040
3,6,70,https://www.youtube.com/watch?v=xsbQhiOdh7g&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=7&t=869s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643048
3,6,71,https://www.youtube.com/watch?v=xsbQhiOdh7g&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=7&t=976s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643034
3,6,72,https://www.youtube.com/watch?v=xsbQhiOdh7g&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=7&t=999s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643047
3,6,73,https://www.youtube.com/watch?v=xsbQhiOdh7g&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=7&t=1084s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643050
3,6,74,https://www.youtube.com/watch?v=xsbQhiOdh7g&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=7&t=1181s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643031
3,6,75,https://www.youtube.com/watch?v=xsbQhiOdh7g&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=7&t=1288s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643046
3,6,76,https://www.youtube.com/watch?v=xsbQhiOdh7g&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=7&t=1323s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643045
3,6,77,https://www.youtube.com/watch?v=xsbQhiOdh7g&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=7&t=1379s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643044
3,7,78,https://www.youtube.com/watch?v=ig3-IIrGjKQ&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=8,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643068
3,7,79,https://www.youtube.com/watch?v=ig3-IIrGjKQ&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=8&t=44s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643071
3,7,80,https://www.youtube.com/watch?v=ig3-IIrGjKQ&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=8&t=76s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643073
3,7,81,https://www.youtube.com/watch?v=ig3-IIrGjKQ&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=8&t=115s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643074
3,7,82,https://www.youtube.com/watch?v=ig3-IIrGjKQ&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=8&t=150s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643067
3,7,83,https://www.youtube.com/watch?v=ig3-IIrGjKQ&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=8&t=244s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643072
3,7,84,https://www.youtube.com/watch?v=ig3-IIrGjKQ&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=8&t=297s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643075
3,7,85,https://www.youtube.com/watch?v=ig3-IIrGjKQ&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=8&t=364s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643069
3,7,86,https://www.youtube.com/watch?v=ig3-IIrGjKQ&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=8&t=411s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643070
3,7,87,https://www.youtube.com/watch?v=ig3-IIrGjKQ&list=PLOrJMC_Nq6xoh5IcRPIJsZQn7xHFO_yq0&index=8&t=468s,https://school.japason.co.jp/courses/mospowerpoint/lectures/60643066
3,8,88,,https://school.japason.co.jp/courses/mospowerpoint/lectures/60660686
3,8,89,,https://school.japason.co.jp/courses/mospowerpoint/lectures/60660690
3,8,90,,https://school.japason.co.jp/courses/mospowerpoint/lectures/60660682
3,8,91,,https://school.japason.co.jp/courses/mospowerpoint/lectures/60660684
3,8,92,,https://school.japason.co.jp/courses/mospowerpoint/lectures/60660691
3,8,93,,https://school.japason.co.jp/courses/mospowerpoint/lectures/60660685
3,8,94,,https://school.japason.co.jp/courses/mospowerpoint/lectures/60660688
3,8,95,,https://school.japason.co.jp/courses/mospowerpoint/lectures/60660687
3,8,96,,https://school.japason.co.jp/courses/mospowerpoint/lectures/60660683
3,8,97,,https://school.japason.co.jp/courses/mospowerpoint/lectures/60660689
