appId,projectId,questionId,videoUrl,videoUrlNoCm
1,2,43,https://www.youtube.com/watch?v=elpcAtkj_SI&t=498s,https://school.japason.co.jp/courses/mos-mos-exce365-91-94/lectures/60742117
1,2,44,https://www.youtube.com/watch?v=elpcAtkj_SI&t=615s,https://school.japason.co.jp/courses/mos-mos-exce365-91-94/lectures/60742126
1,2,45,https://www.youtube.com/watch?v=elpcAtkj_SI&t=696s,https://school.japason.co.jp/courses/mos-mos-exce365-91-94/lectures/60742124
1,2,46,https://www.youtube.com/watch?v=elpcAtkj_SI&t=788s,https://school.japason.co.jp/courses/mos-mos-exce365-91-94/lectures/60742137
1,2,47,https://www.youtube.com/watch?v=elpcAtkj_SI&t=848s,https://school.japason.co.jp/courses/mos-mos-exce365-91-94/lectures/60742141
1,2,48,https://www.youtube.com/watch?v=elpcAtkj_SI&t=944s,https://school.japason.co.jp/courses/mos-mos-exce365-91-94/lectures/60742109
1,3,49,https://www.youtube.com/watch?v=8gPwycoRg6c&t=1s,https://school.japason.co.jp/courses/mos-mos-exce365-91-94/lectures/60742123
1,3,50,https://www.youtube.com/watch?v=8gPwycoRg6c&t=35s,https://school.japason.co.jp/courses/mos-mos-exce365-91-94/lectures/60742144
1,3,51,https://www.youtube.com/watch?v=8gPwycoRg6c&t=58s,https://school.japason.co.jp/courses/mos-mos-exce365-91-94/lectures/60742191
1,3,52,https://www.youtube.com/watch?v=8gPwycoRg6c&t=89s,https://school.japason.co.jp/courses/mos-mos-exce365-91-94/lectures/60742169
1,3,53,https://www.youtube.com/watch?v=8gPwycoRg6c&t=126s,https://school.japason.co.jp/courses/mos-mos-exce365-91-94/lectures/60742198
1,3,54,https://www.youtube.com/watch?v=8gPwycoRg6c&t=151s,https://school.japason.co.jp/courses/mos-mos-exce365-91-94/lectures/60742182
1,3,55,https://www.youtube.com/watch?v=8gPwycoRg6c&t=177s,https://school.japason.co.jp/courses/mos-mos-exce365-91-94/lectures/60742204
1,3,56,https://www.youtube.com/watch?v=8gPwycoRg6c&t=229s,https://school.japason.co.jp/courses/mos-mos-exce365-91-94/lectures/60742187
1,3,57,https://www.youtube.com/watch?v=8gPwycoRg6c&t=303s,https://school.japason.co.jp/courses/mos-mos-exce365-91-94/lectures/60742163
1,3,58,https://www.youtube.com/watch?v=8gPwycoRg6c&t=330s,https://school.japason.co.jp/courses/mos-mos-exce365-91-94/lectures/60742202
1,4,59,https://www.youtube.com/watch?v=CvBQ_-emnkc&t=1s,https://school.japason.co.jp/courses/mos-mos-exce365-91-94/lectures/60742185
1,4,60,https://www.youtube.com/watch?v=CvBQ_-emnkc&t=131s,https://school.japason.co.jp/courses/mos-mos-exce365-91-94/lectures/60742188
1,4,61,https://www.youtube.com/watch?v=CvBQ_-emnkc&t=287s,https://school.japason.co.jp/courses/mos-mos-exce365-91-94/lectures/60742193
1,4,62,https://www.youtube.com/watch?v=CvBQ_-emnkc&t=389s,https://school.japason.co.jp/courses/mos-mos-exce365-91-94/lectures/60742176
1,4,63,https://www.youtube.com/watch?v=CvBQ_-emnkc&t=453s,https://school.japason.co.jp/courses/mos-mos-exce365-91-94/lectures/60742162
1,4,64,https://www.youtube.com/watch?v=CvBQ_-emnkc&t=493s,https://school.japason.co.jp/courses/mos-mos-exce365-91-94/lectures/60742157
1,4,65,https://www.youtube.com/watch?v=CvBQ_-emnkc&t=595s,https://school.japason.co.jp/courses/mos-mos-exce365-91-94/lectures/60742170
1,4,66,https://www.youtube.com/watch?v=CvBQ_-emnkc&t=633s,https://school.japason.co.jp/courses/mos-mos-exce365-91-94/lectures/60742180
